date,direction,speed
2018-06-23,301,9.0
2018-06-24,254,12.0
2018-06-25,257,16.0
2018-06-26,250,18.0
2018-06-27,246,19.0
2018-06-28,234,15.0
2018-06-29,220,12.0
2018-06-30,218,9.0
2018-07-01,210,9.0
2018-07-02,221,11.0
2018-07-03,240,13.0
2018-07-04,241,18.0
2018-07-05,259,19.0
2018-07-06,284,19.0
2018-07-07,289,18.0
2018-07-08,287,18.0
2018-07-09,275,19.0
2018-07-10,271,21.0
2018-07-11,274,21.0
2018-07-12,264,25.0
2018-07-13,263,24.0
2018-07-14,263,25.0
2018-07-15,263,30.0
2018-07-16,259,31.0
2018-07-17,258,28.0
2018-07-18,257,20.0
2018-07-19,266,21.0
2018-07-20,260,21.0
2018-07-21,264,23.0
2018-07-22,268,24.0
2018-07-23,269,23.0
2018-07-24,270,22.0
2018-07-25,268,20.0
2018-07-26,262,18.0
2018-07-27,249,18.0
2018-07-28,254,18.0
2018-07-29,266,18.0
2018-07-30,264,15.0
2018-07-31,257,18.0
2018-08-01,263,18.0
2018-08-02,274,16.0
2018-08-03,278,16.0
2018-08-04,272,18.0
2018-08-05,269,17.0
2018-08-06,268,22.0
2018-08-07,267,24.0
2018-08-08,269,22.0
2018-08-09,269,20.0
2018-08-10,285,19.0
2018-08-11,285,22.0
2018-08-12,276,22.0
2018-08-13,258,27.0
2018-08-14,276,25.0
2018-08-15,282,27.0
2018-08-16,276,31.0
2018-08-17,273,27.0
2018-08-18,275,22.0
2018-08-19,284,19.0
2018-08-20,281,17.0
2018-08-21,264,20.0
2018-08-22,269,17.0
2018-08-23,281,14.0
2018-08-24,283,13.0
2018-08-25,284,13.0
2018-08-26,276,11.0
2018-08-27,282,18.0
2018-08-28,289,17.0
2018-08-29,302,12.0
2018-08-30,302,15.0
2018-08-31,299,11.0
2018-09-01,300,9.0
2018-09-02,293,10.0
2018-09-03,287,11.0
2018-09-04,293,12.0
2018-09-05,294,12.0
2018-09-06,291,15.0
2018-09-07,279,12.0
2018-09-08,290,7.0
2018-09-09,207,6.0
2018-09-10,208,8.0
2018-09-11,287,12.0
2018-09-12,284,12.0
2018-09-13,242,11.0
2018-09-14,204,9.0
2018-09-15,201,12.0
2018-09-16,277,12.0
2018-09-17,316,11.0
2018-09-18,320,10.0
2018-09-19,323,12.0
2018-09-20,315,14.0
2018-09-21,275,10.0
2018-09-22,203,11.0
2018-09-23,229,8.0
2018-09-24,213,8.0
2018-09-25,202,11.0
2018-09-26,252,8.0
2018-09-27,185,8.0
2018-09-28,182,7.0
2018-09-29,140,5.0
2018-09-30,177,7.0
2018-10-01,183,6.0
2018-10-02,152,8.0
2018-10-03,162,6.0
2018-10-04,154,5.0
2018-10-05,85,9.0
2018-10-06,184,9.0
2018-10-07,138,10.0
2018-10-08,162,7.0
2018-10-09,239,6.0
2018-10-10,202,9.0
2018-10-11,323,11.0
2018-10-12,237,10.0
2018-10-13,234,8.0
2018-10-14,217,7.0
2018-10-15,190,5.0
2018-10-16,159,5.0
2018-10-17,141,7.0
2018-10-18,174,8.0
2018-10-19,155,7.0
2018-10-20,138,8.0
2018-10-21,152,8.0
2018-10-22,150,8.0
2018-10-23,170,8.0
2018-10-24,163,8.0
2018-10-25,154,9.0
2018-10-26,124,9.0
2018-10-27,89,11.0
2018-10-28,163,11.0
2018-10-29,153,11.0
2018-10-30,159,11.0
2018-10-31,152,10.0
2018-11-01,152,9.0
2018-11-02,157,10.0
2018-11-03,142,8.0
2018-11-04,151,9.0
2018-11-05,144,9.0
2018-11-06,140,8.0
2018-11-07,160,9.0
2018-11-08,153,9.0
2018-11-09,155,9.0
2018-11-10,149,9.0
2018-11-11,160,9.0
2018-11-12,157,7.0
2018-11-13,164,8.0
2018-11-14,181,9.0
2018-11-15,154,9.0
2018-11-16,117,9.0
2018-11-17,126,10.0
2018-11-18,206,7.0
2018-11-19,137,6.0
2018-11-20,143,9.0
2018-11-21,155,8.0
2018-11-22,105,12.0
2018-11-23,149,13.0
2018-11-24,148,10.0
2018-11-25,141,8.0
2018-11-26,154,10.0
2018-11-27,104,11.0
2018-11-28,68,11.0
2018-11-29,161,10.0
2018-11-30,158,12.0
2018-12-01,158,10.0
2018-12-02,159,11.0
2018-12-03,149,10.0
2018-12-04,157,10.0
2018-12-05,151,8.0
2018-12-06,149,8.0
2018-12-07,137,9.0
2018-12-08,159,9.0
2018-12-09,209,9.0
2018-12-10,204,12.0
2018-12-11,246,11.0
2018-12-12,208,11.0
2018-12-13,201,11.0
2018-12-14,158,9.0
2018-12-15,141,11.0
2018-12-16,130,13.0
2018-12-17,153,11.0
2018-12-18,118,13.0
2018-12-19,160,14.0
2018-12-20,154,12.0
2018-12-21,139,9.0
2018-12-22,165,9.0
2018-12-23,148,10.0
2018-12-24,152,10.0
2018-12-25,146,8.0
2018-12-26,210,9.0
2018-12-27,214,10.0
2018-12-28,148,12.0
2018-12-29,158,12.0
2018-12-30,166,13.0
2018-12-31,91,14.0
2019-01-01,239,12.0
2019-01-02,238,11.0
2019-01-03,144,11.0
2019-01-04,214,10.0
2019-01-05,228,12.0
2019-01-06,215,11.0
2019-01-07,212,11.0
2019-01-08,213,11.0
2019-01-09,218,11.0
2019-01-10,200,9.0
2019-01-11,256,9.0
2019-01-12,277,10.0
2019-01-13,300,11.0
