date,direction,speed
2014-03-27,113,14.0
2014-03-28,250,9.0
2014-03-29,223,9.0
2014-03-30,138,8.0
2014-03-31,299,26.0
2014-04-01,292,11.0
2014-04-02,190,14.0
2014-04-03,176,16.0
2014-04-04,250,13.0
2014-04-05,285,23.0
2014-04-06,302,14.0
2014-04-07,276,17.0
2014-04-08,276,12.0
2014-04-09,194,10.0
2014-04-10,268,18.0
2014-04-11,293,18.0
2014-04-12,274,14.0
2014-04-13,201,9.0
2014-04-14,183,8.0
2014-04-15,240,8.0
2014-04-16,302,14.0
2014-04-17,236,8.0
2014-04-18,109,10.0
2014-04-19,122,12.0
2014-04-20,131,9.0
2014-04-21,223,12.0
2014-04-22,331,10.0
2014-04-23,217,8.0
2014-04-24,225,8.0
2014-04-25,224,9.0
2014-04-26,200,9.0
2014-04-27,201,13.0
2014-04-28,186,5.0
2014-04-29,90,10.0
2014-04-30,175,19.0
2014-05-01,217,17.0
2014-05-02,286,11.0
2014-05-03,239,10.0
2014-05-04,235,11.0
2014-05-05,181,18.0
2014-05-06,224,7.0
2014-05-07,226,8.0
2014-05-08,194,19.0
2014-05-09,252,13.0
2014-05-10,298,18.0
2014-05-11,223,11.0
2014-05-12,199,20.0
2014-05-13,239,13.0
2014-05-14,223,16.0
2014-05-15,177,9.0
2014-05-16,273,21.0
2014-05-17,284,19.0
2014-05-18,278,14.0
2014-05-19,200,10.0
2014-05-20,202,8.0
2014-05-21,80,20.0
2014-05-22,256,13.0
2014-05-23,147,5.0
2014-05-24,226,10.0
2014-05-25,238,9.0
2014-05-26,166,15.0
2014-05-27,114,13.0
2014-05-28,216,11.0
2014-05-29,189,7.0
2014-05-30,196,8.0
2014-05-31,224,8.0
2014-06-01,192,6.0
2014-06-02,77,8.0
2014-06-03,165,8.0
2014-06-04,165,12.0
2014-06-05,144,12.0
2014-06-06,106,13.0
2014-06-07,99,11.0
2014-06-08,79,14.0
2014-06-09,107,8.0
2014-06-10,73,7.0
2014-06-11,141,12.0
2014-06-12,121,15.0
2014-06-13,257,15.0
2014-06-14,264,14.0
2014-06-15,224,9.0
2014-06-16,199,10.0
2014-06-17,211,7.0
2014-06-18,163,8.0
2014-06-19,205,7.0
2014-06-20,212,5.0
2014-06-21,135,7.0
2014-06-22,133,5.0
2014-06-23,212,8.0
2014-06-24,209,9.0
2014-06-25,202,10.0
2014-06-26,179,9.0
2014-06-27,149,10.0
2014-06-28,139,11.0
2014-06-29,51,14.0
2014-06-30,121,9.0
2014-07-01,165,6.0
2014-07-02,185,7.0
2014-07-03,170,11.0
2014-07-04,133,10.0
2014-07-05,67,9.0
2014-07-06,168,9.0
2014-07-07,162,9.0
2014-07-08,180,9.0
2014-07-09,209,11.0
2014-07-10,181,15.0
2014-07-11,238,15.0
2014-07-12,248,8.0
2014-07-13,195,10.0
2014-07-14,196,8.0
2014-07-15,168,7.0
2014-07-16,176,8.0
2014-07-17,45,8.0
2014-07-18,123,8.0
2014-07-19,115,8.0
2014-07-20,39,12.0
2014-07-21,65,10.0
2014-07-22,193,8.0
2014-07-23,212,8.0
2014-07-24,262,8.0
2014-07-25,227,8.0
2014-07-26,193,11.0
2014-07-27,281,13.0
2014-07-28,277,7.0
2014-07-29,210,9.0
2014-07-30,189,11.0
2014-07-31,196,10.0
2014-08-01,204,6.0
2014-08-02,233,8.0
2014-08-03,160,7.0
2014-08-04,122,5.0
2014-08-05,195,6.0
2014-08-06,187,7.0
2014-08-07,197,8.0
2014-08-08,159,8.0
2014-08-09,43,10.0
2014-08-10,104,20.0
2014-08-11,206,22.0
2014-08-12,208,6.0
2014-08-13,221,8.0
2014-08-14,181,6.0
2014-08-15,157,5.0
2014-08-16,50,9.0
2014-08-17,108,5.0
2014-08-18,152,5.0
2014-08-19,141,4.0
2014-08-20,241,4.0
2014-08-21,187,7.0
2014-08-22,135,7.0
2014-08-23,200,5.0
2014-08-24,232,7.0
2014-08-25,237,7.0
2014-08-26,126,10.0
2014-08-27,83,12.0
2014-08-28,157,8.0
2014-08-29,124,7.0
2014-08-30,82,8.0
2014-08-31,144,8.0
2014-09-01,107,6.0
2014-09-02,188,15.0
2014-09-03,84,8.0
2014-09-04,164,15.0
2014-09-05,202,11.0
2014-09-06,223,9.0
2014-09-07,229,7.0
